x,F,v,p,E,E-W,
0,0,0,0,0,0,
5,0.85,1.08599087444425,3.91347671514729,2.125,0,
10,1.7,2.17198174888849,7.82695343029457,8.5,6.375,
15,2.55,3.25797262333274,11.7404301454419,19.125,17,
20,3.4,4.34396349777699,15.6539068605891,34,31.875,
25,4.25,5.42995437222123,19.5673835757364,53.125,51,
30,5.1,6.51594524666548,23.4808602908837,76.5,74.375,
35,5.95,7.60193612110973,27.394337006031,104.125,102,
40,6.8,8.68792699555397,31.3078137211783,136,133.875,
45,7.65,9.77391786999822,35.2212904363256,172.125,170,
50,8.5,10.8599087444425,39.1347671514729,212.5,210.375,
55,9.35,11.9458996188867,43.0482438666202,257.125,255,
60,10.2,13.031890493331,46.9617205817675,306,303.875,
