próbka,vpp,dt,f,jakość,Uwagi,
Acfm,15.8,19.6,50,5,,
Acf,15.8,164,50,4,,
AcfCOPY,14.9,360,45.45,3,,
Acs,13.1,14.4,66.7,4,,
AcsCOPY,22,14.4,113.6,3,,
Acc,15.8,23.6,50,5,,
Bcfm,11,6.4,156.2,5,1 okres sinus (trójkątny),
Bcs,12.3,14.4,200,4,,
Bcc,2.76,2.2,454,5,wysoki współczynnik wypełnienia sygnału. Nie widać okresowości.,
rBcfm,6.68,5,200,5,"jeden okres, trójkąt",
rBcs,2.96,33,100,3,,
rBcc,2.62,5.8,500,4,,
Dcfm,15.8,22.4,250,4,,
Dcf,14,85,40,3,,
Dcs,14.4,25.6,250,2,,
Dcc,13.1,18.4,76.9,3,2 harmoniczna,
Ecfm,10.9,22,100,3,harmoniczne,
Ecs,10.9,32.4,100,3,harmoniczne,
Ecc,6.64,52,100,5,,
Fcfm,13.9,46,100,4,,
Fcs,15,24,100,4,,
Fcc,13.6,41,100,4,,
S,8.88,5.8,200,5,"jeden okres, trójkąt",
SA,3.36,11.6,250,2,"dużo harmonicznych, długi stan nieustalony",
Bcc_nazewnatrz,4.88,11.4,125,3,,Czujnik 6
Ecc_center,19.6,20.8,200,5,gasnący sin,
Ecfm_center,19.4,20.8,200,4,nieregularność,
Ecs_center,14.7,50,200,4,,
Fcc_center,15.8,41,100,4,,
